airline,score (max 10),reviews,links
Evelop Airlines,3,6,"https://www.airlinequality.com/airline-reviews/evelop-airlines"""
EWA Air,1,1,"https://www.airlinequality.com/airline-reviews/ewa-air"""
Far Eastern Air Transport,4,4,"https://www.airlinequality.com/airline-reviews/far-eastern"""
fastjet,4,33,"https://www.airlinequality.com/airline-reviews/fastjet"""
Felix Airways,8,2,"https://www.airlinequality.com/airline-reviews/felix-airways"""
Fiji Airways,5,292,"https://www.airlinequality.com/airline-reviews/fiji-airways"""
Finnair,5,837,"https://www.airlinequality.com/airline-reviews/finnair"""
Firefly,7,69,"https://www.airlinequality.com/airline-reviews/firefly"""
Flair Airlines,3,687,"https://www.airlinequality.com/airline-reviews/flair-airlines"""
Fly540.com,4,34,"https://www.airlinequality.com/airline-reviews/fly540-com"""
flyadeal,2,18,"https://www.airlinequality.com/airline-reviews/flyadeal"""
FlyArystan,7,6,"https://www.airlinequality.com/airline-reviews/flyarystan"""
flybe,6,4,"https://www.airlinequality.com/airline-reviews/flybe"""
flydubai,4,341,"https://www.airlinequality.com/airline-reviews/flydubai"""
Flynas,2,47,"https://www.airlinequality.com/airline-reviews/flynas"""
FLYONE,1,4,"https://www.airlinequality.com/airline-reviews/flyone"""
FlySafair,4,97,"https://www.airlinequality.com/airline-reviews/flysafair"""
FMI Air,10,2,"https://www.airlinequality.com/airline-reviews/fmi-air"""
Freebird Airlines,5,50,"https://www.airlinequality.com/airline-reviews/free-bird"""
French Bee,3,55,"https://www.airlinequality.com/airline-reviews/french-bee"""
Frontier Airlines,2,2720,"https://www.airlinequality.com/airline-reviews/frontier-airlines"""
Garuda Indonesia,8,859,"https://www.airlinequality.com/airline-reviews/garuda-indonesia"""
Georgian Airways,3,52,"https://www.airlinequality.com/airline-reviews/georgian-airways"""
Germania Airline,5,19,"https://www.airlinequality.com/airline-reviews/germania-airline"""
Germanwings,6,145,"https://www.airlinequality.com/airline-reviews/germanwings"""
Go First,2,125,"https://www.airlinequality.com/airline-reviews/go-first"""
GoAir,2,227,"https://www.airlinequality.com/airline-reviews/goair"""
Gol Transportes Aéreos,4,79,"https://www.airlinequality.com/airline-reviews/gol"""
Golden Myanmar Airlines,9,3,"https://www.airlinequality.com/airline-reviews/golden-myanmar-airlines"""
Grand Cru Airlines,10,1,"https://www.airlinequality.com/airline-reviews/grand-cru-airlines"""
Gulf Air,5,350,"https://www.airlinequality.com/airline-reviews/gulf-air"""
Hainan Airlines,8,402,"https://www.airlinequality.com/airline-reviews/hainan-airlines"""
Hawaiian Airlines,5,474,"https://www.airlinequality.com/airline-reviews/hawaiian-airlines"""
Helvetic Airways,7,28,"https://www.airlinequality.com/airline-reviews/helvetic"""
Henan Airlines,8,1,"https://www.airlinequality.com/airline-reviews/henan-airlines"""
Hi Fly,6,22,"https://www.airlinequality.com/airline-reviews/hi-fly"""
Himalaya Airlines,1,1,"https://www.airlinequality.com/airline-reviews/himalaya-airlines"""
HiSky,1,1,"https://www.airlinequality.com/airline-reviews/hisky"""
HK Express,4,82,"https://www.airlinequality.com/airline-reviews/hong-kong"""
Hong Kong Airlines,5,141,"https://www.airlinequality.com/airline-reviews/hong-kong-airlines"""
HOP!,6,13,"https://www.airlinequality.com/airline-reviews/hop"""
Horizon Air,6,25,"https://www.airlinequality.com/airline-reviews/horizon-air"""
Hunnu Air,9,1,"https://www.airlinequality.com/airline-reviews/hunnu-air"""
Iberia,5,830,"https://www.airlinequality.com/airline-reviews/iberia"""
Iberia Express,4,63,"https://www.airlinequality.com/airline-reviews/iberia-express"""
Icelandair,5,644,"https://www.airlinequality.com/airline-reviews/icelandair"""
IndiGo,6,398,"https://www.airlinequality.com/airline-reviews/indigo-airlines"""
Insel Air,3,76,"https://www.airlinequality.com/airline-reviews/insel-air"""
Intercaribbean Airways,1,6,"https://www.airlinequality.com/airline-reviews/intercaribbean-airways"""
Interjet,2,214,"https://www.airlinequality.com/airline-reviews/interjet"""
InterSky,6,8,"https://www.airlinequality.com/airline-reviews/intersky"""
Iran Air,5,66,"https://www.airlinequality.com/airline-reviews/iran-air"""
Iran Aseman Airlines,5,7,"https://www.airlinequality.com/airline-reviews/iran-aseman"""
Iraqi Airways,5,2,"https://www.airlinequality.com/airline-reviews/iraqi-airways"""
Island Air,4,34,"https://www.airlinequality.com/airline-reviews/island"""
Israir Airlines,3,23,"https://www.airlinequality.com/airline-reviews/israir-airlines"""
ITA Airways,2,51,"https://www.airlinequality.com/airline-reviews/ita-airways"""
Japan Airlines,7,382,"https://www.airlinequality.com/airline-reviews/japan-airlines"""
Jazeera Airways,3,42,"https://www.airlinequality.com/airline-reviews/jazeera-airways"""
Jazz,8,5,"https://www.airlinequality.com/airline-reviews/jazz"""
JC International Airlines,1,1,"https://www.airlinequality.com/airline-reviews/jc-international-airlines"""
Jeju Air,4,20,"https://www.airlinequality.com/airline-reviews/jeju-air"""
Jet Airways,5,1061,"https://www.airlinequality.com/airline-reviews/jet-airways"""
Jet2.com,7,560,"https://www.airlinequality.com/airline-reviews/jet2-com"""
Jetairfly,5,22,"https://www.airlinequality.com/airline-reviews/jetairfly"""
Jetblue Airways,4,1384,"https://www.airlinequality.com/airline-reviews/jetblue-airways"""
JetSmart,4,4,"https://www.airlinequality.com/airline-reviews/jetsmart"""
Jetstar Airways,4,1188,"https://www.airlinequality.com/airline-reviews/jetstar-airways"""
Jetstar Asia,5,192,"https://www.airlinequality.com/airline-reviews/jetstar-asia"""
Jetstar Japan,2,35,"https://www.airlinequality.com/airline-reviews/jetstar-japan"""
Jetstar Pacific,3,110,"https://www.airlinequality.com/airline-reviews/jetstar-pacific"""
JetsuiteX,10,1,"https://www.airlinequality.com/airline-reviews/jetsuitex"""
Jin Air,7,18,"https://www.airlinequality.com/airline-reviews/jin-air"""
Joon,3,11,"https://www.airlinequality.com/airline-reviews/joon"""
Jordan Aviation,5,2,"https://www.airlinequality.com/airline-reviews/jordan-aviation"""
Juneyao Airlines,5,36,"https://www.airlinequality.com/airline-reviews/juneyao-airlines"""
Kam Air,3,28,"https://www.airlinequality.com/airline-reviews/kam-air"""
Kan Air,6,2,"https://www.airlinequality.com/airline-reviews/kan-air"""
Karthago Airlines,3,38,"https://www.airlinequality.com/airline-reviews/karthago-airlines"""
