Airline,Food & Beverage,Inflight Entertainment,Seat Comfort,Staff Service,Value for Money
VLM Airlines,4,-1,4,5,4
Voyage Air,-1,-1,-1,-1,1
Virgin America,3,4,3,3,3
Wamos Air,2,2,2,2,2
Virgin Australia,3,3,3,3,3
Viva Air,1,1,1,1,1
Vistara,4,3,4,4,4
Volotea,3,2,3,3,3
Vietnam Airlines,3,2,3,3,4
Vueling Airlines,2,1,2,2,2
Wideroe,2,1,2,3,2
VivaColombia,1,1,2,1,2
Volaris,1,1,2,2,2
Winair,-1,-1,2,2,1
Wingo,2,1,2,2,2
Yakutia Airlines,3,-1,3,3,4
World2Fly,1,1,1,1,1
XL Airways France,3,2,2,3,3
Wings Air,1,1,2,2,2
Yangon Airways,4,-1,5,4,4
Yeti Airlines,2,-1,3,3,3
Yemenia,-1,-1,-1,-1,4
WOW air,2,1,2,2,2
Xiamen Airlines,3,3,3,3,3
Zambia Airways,1,-1,2,4,5
Wizz Air,2,1,2,2,2
ZIPAIR,2,2,3,3,2
