header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
""" Never traveling with the airline again""",2,2021-10-27,"Cheapest flight available. On-time reach. Every time flight is canceled and they inform 4-5 hours before via email or msg. So if are looking for something special on time do not choose this airline. They will give options to compensate with other flights with delayed options. This can cause a major issue in covid since many airports/states have different rules. I booked a flight ticket for 6 am around from Mumbai to Leh via Delhi. They sent me an email that this flight is canceled at 12am. Now, what am I supposed to do? I am already in Mumbai spent money on the hotel to stay in since I don't stay there. I called flight care they offered they have one flight at 3.30 am if you can make it we can book. LOL Being a single woman traveling at night is so safe you already aware. Anyway, I made to flight reached Leh safely!  Now return story which is same with some more major issues.  So being a new customer to this flight I wasn't aware that they are going to cancel every flight. They canceled my return flight as well. Which was from Leh to Mumbai via Delhi. I was informed by Leh/Delhi/Mumbai airports that the RT-PCR test will be done at the airport. Although I was fully vaccinated I believe the test was needed so I had no issues. Not being in Leh where network issues are on top.  So after canceling my flight they offered me a flight from Leh to Mumbai via Srinagar.  They didn't tell me that Srinagar won't allow you without the RT-PCR. Not their job I believe still no issue. Now I am at the airport at 5 in the morning looking for my boarding pass. Lady said no boarding pass since you don't have an RT-PCR test. I asked the airport system they said they will not be able to do so. because they do test only on arrival, not on departure. It's not their job.  I am begging for Gofirst to provide me any flight even with the extra charge that can send me to Delhi at least. Because Delhi airport is best. They do pcr and let you go. Plus no network issue.  So after 4 hours of a hopeless situation, I got a flight for the next day to Delhi.  Never traveling with the airline again.",True,,Solo Leisure,Economy Class,Mumbai to Leh,August 2021,2,1,"<span class=""star fill"">2</span>",1,2,,1,False
"""effulgent with her efforts""",10,2021-10-24,"Miss Priyanka was effulgent with her efforts to keep the passengers well taken care of. Ready to assist, was a delight to receive the way she added to our experience of Go First flight, as my 12 year old son Soham, complimented too. She's a major value addition to your crew & company. I wish her all the the best in her future career. Flight was on time, very comfortable.",True,,Family Leisure,Economy Class,,October 2021,3,5,,5,5,,,True
"""Customer care team is another hell""",1,2021-10-12,"My baggage is struck in Goa and not at all responding for anything. Customer care team is another hell, where they wont pick up the calls. What a irresponsible airline. Funny thing is when i tried to give the feedback on their website, the website is also not working yet. Not sure if they are running the airlines or anything else.",True,,Family Leisure,Economy Class,Goa to Hyderabad,October 2021,1,1,,1,1,,,False
"""the service on board wasn't up to the mark""",3,2021-10-07,"This is in regards to the Go Air flight G81531 that me and my husband boarded from New Delhi to Maldives on 12th of Sep, 2021. I want to share my awful experiences that I had that day. Firstly the flight was so jam-packed that the waiting area was densely crowded and during these times where Covid is out there to kill everyone. The same thing continued when the boarding was announced. Everyone rushed to be the first to get on the plane and again the staff handling the boarding seemed so okay with it. People weren't asked to be in any queue or anything. And again the boarding was done in a rush. Secondly, since every middle seat in the flight was booked, a PPE kit which should have been provided wasn't given to anyone. This being said, we could clearly see the staff members in possession of those PPE kits but for some unknown reasons, they didn't provide those kits to anyone and moreover, didn't stop anyone who hadn't put on the PPE kit. It seemed like the airline is hell bent on ""lives cutting"" rather than ""cost cutting."" Thirdly, the service on board wasn't up to the mark. Usually every flight has the service where they at least provide you water to drink. But here we couldn't see anyone coming up to us with anything. When we asked for water, it took them ages to get back to us. Lastly, to my most surprise, something happened which I have never experienced before. Be it any airlines, the pilot makes an announcement much before the landing and gives a brief pitch about the time that's remaining for the touch down, weather/temperature of the destination and stuff like that. But here no announcement as such was done and the pilot just gave a one liner, ""we are about to land at the Maldives international airport. Hope you guys had a great experience."" Clearly we didn't have a great experience! And just when the plane landed, everyone again rushed to deboard the flight. The flight attendants didn't seem bothered by this. Be it Covid times or pre covid times, attendants always ask the people on board to maintain patience and decorum. Nothing as such happened. Ultimately, we managed to come out of the plane. And all we could think of was when we would get ourselves tested for Covid. We were so sure that we would have gotten infected because of this poorly managed flight service throughout. Luckily we were okay but it clearly was a terrible experience for me and my husband. If the service of Go Air has degraded to such levels I will never ever board any its flight again and will surely never recommend it to anyone.",True,,Couple Leisure,Economy Class,New Delhi to Maldives,September 2021,1,1,,2,1,,,False
"""the seats needs to be pre-booked""",1,2021-10-03,"Traveled alone with my four months old daughter from Mumbai to Sharjah on 15th September 2021. Since I was traveling alone with an infant, i was trying to plan things ahead of time so called their customer support a few times just to confirm the seat number where I will get extra leg room (Extra leg room seat or the seat right after a wall is always preferred while traveling with kids as it is spacious and you can get up from the seat without disturbing co passengers). On multiple calls, I was always told that seat 3A is having extra leg room, in short row 3 is extra legroom. When requested to pre allot the seat, I was told that booking a seat in advance is a paid service. (I'm talking about reserving a seat and not booking the flight ticket) I paid the seat fees 1100 INR. Upon boarding the flight I was surprised to look at the seat as it was a very ordinary seat without much legroom. I double checked and it was 3A. I got worried thinking how am I going to adjust there with my infant. I sat there, I waited for all the passengers to board. Front two rows were empty so out of 12 seats only one passenger was seating, remaining 11 seats were vacant. Once the boarding was finished, I called the crew member told her that I have paid for the extra leg room seat and requested if they can change my seat and let me seat at one of those empty seat. The lady said it's not in her hand and sent someone else to me. I told the same story to another who came to me, He listened to me and said it's not in his hands the seats needs to be pre-booked, they are paid seats etc. and said he will get back to me. He never came back. My co passengers supported me and requested them to shift me at one of those seats but they took no action. Many of their services are paid like seat reservation or even you can't carry two check in bags per person only one check in bag is allowed. They charge you extra for extra bag. The ground staff was supportive at Mumbai airport. But for crew and their customer support I give zero.",True,,Family Leisure,Economy Class,Mumbai to Sharjah,September 2021,1,1,,3,1,,,False
"""The flight got delayed""",1,2021-10-02,I was hesitant to book this worthless GoAir flight as I had bad past experience of flight cancellations and delays. But I booked because it was going to departure 2.5 hours after I received the unfortunate news. This time also go first didn't disappoint. The flight got delayed and I reached my destination late.,True,,Solo Leisure,Economy Class,Delhi to Srinagar,October 2021,1,1,,1,1,,,False
"""very bad to play with customers""",1,2021-09-27,"I have made a booking of flight ticket from go air for 8th sep from Bangalore to Pune. however due to personal reasons I have rescheduled the flight to 7th September by paying 3350 INR. The problem is money got deducted first time when I was doing it from GoAir website using gpay. I have called up GoAir customer care and they told me that the deducted money will be credited back to my account. They requested me to pay one more time. This time I have paid it using my CITI credit card. this time the rescheduling completed. it is been more than 10 days and not received any refund of 3,350 yet. I have confirmed from HDFC bank and they told bank has already processed the amount and they wont be able to refund but airline has to do it. I have been calling the airline customer care for last 10 days and emailed them, no response given to email and no proper answer for calls. This is very bad to play with customers.",True,,Solo Leisure,Economy Class,Bangalore to Pune,September 2021,,,,,1,,,False
"""convert direct flight to indirect""",1,2021-09-23,"Not Verified |  This airline sucks. They convert direct flight to indirect and when call their support team, they will say we have sent mail a day back and keep on saying sorry 10 times. They don't have courtesy to even offer a proper apologies and complete information on it just sorry.",False,,Family Leisure,Economy Class,Ranchi to Bangalore via Ranchi,September 2021,1,1,,1,1,,,False
"""not refunding my money""",1,2021-09-18,"I paid 13000 for extra baggage, now due to COVID all my flights got canceled and I had to cancel my Goair flight as well. Agent who helped me to cancel my check in and baggage told me that I will get my baggage money return in 30 days. Now it’s been over a month and now they are telling me about all their policy and not refunding my money. Such a terrible customer service.",True,,Solo Leisure,Economy Class,Ahmedabad to Delhi,August 2021,,,,,1,,,False
"""Social distancing maintained""",7,2021-08-21,"Not Verified |  My flight was good, but was rescheduled by 5 hours. I flew during the pandemic. Food - free water given due to government restrictions. Pros - Attentive cabin crew. Safety gear given (mask, ppe kit, face shield, hand sanitizer). Received notification of rescheduled flight 1 day before. On time arrival. Social distancing maintained. Cons - Ground staff were not up to the mark (just 1). Customer service didn't call us back.",False,A320-neo,Family Leisure,Economy Class,Goa to Mumbai,July 2021,4,5,,2,4,,,True
